68000,Oaxaca,Oaxaca de Juárez,Oaxaca
68008,Secretaria de La Reforma Agraria,Oaxaca de Juárez,Oaxaca
68009,Palacio de Gobierno Del Estado de Oaxaca,Oaxaca de Juárez,Oaxaca
68010,Los Cedros,Oaxaca de Juárez,Oaxaca
68010,Orquideas,Oaxaca de Juárez,Oaxaca
68010,Elsa,Oaxaca de Juárez,Oaxaca
68010,Bugambilias,Oaxaca de Juárez,Oaxaca
68010,Sauces,Oaxaca de Juárez,Oaxaca
68010,Educacion,Oaxaca de Juárez,Oaxaca
68010,Revolucion,Oaxaca de Juárez,Oaxaca
68010,Tulipanes,Oaxaca de Juárez,Oaxaca
68013,Heladio Ramirez Lopez,Oaxaca de Juárez,Oaxaca
68013,Bugambilias,Oaxaca de Juárez,Oaxaca
68013,Ex Hacienda Santa Rosa 1a Sección,Oaxaca de Juárez,Oaxaca
68013,Adolfo López Mateos Zona Noreste,Oaxaca de Juárez,Oaxaca
68013,Exhacienda Santa Rosa 2a Sección,Oaxaca de Juárez,Oaxaca
68013,Lomas de Santa Rosa,Oaxaca de Juárez,Oaxaca
68013,Neza Cubi,Oaxaca de Juárez,Oaxaca
68013,Lomas de San Jacinto,Oaxaca de Juárez,Oaxaca
68016,Hoteleros,Oaxaca de Juárez,Oaxaca
68016,Vista Hermosa,Oaxaca de Juárez,Oaxaca
68016,El Paraíso,Oaxaca de Juárez,Oaxaca
68016,Buena Vista,Oaxaca de Juárez,Oaxaca
68016,Solidaridad,Oaxaca de Juárez,Oaxaca
68016,Del Maestro,Oaxaca de Juárez,Oaxaca
68016,La Soledad,Oaxaca de Juárez,Oaxaca
68016,Loma Bonita,Oaxaca de Juárez,Oaxaca
68016,Lomas Panoramicas,Oaxaca de Juárez,Oaxaca
68016,10 de Abril,Oaxaca de Juárez,Oaxaca
68020,Ampliación Volcanes,Oaxaca de Juárez,Oaxaca
68020,Volcanes,Oaxaca de Juárez,Oaxaca
68023,7 Regiones,Oaxaca de Juárez,Oaxaca
68023,Manuel Avila Camacho,Oaxaca de Juárez,Oaxaca
68023,Jardín,Oaxaca de Juárez,Oaxaca
68023,Ampliación Siete Regiones Parte Norte,Oaxaca de Juárez,Oaxaca
68023,San Luis Beltran,Oaxaca de Juárez,Oaxaca
68023,Donaji,Oaxaca de Juárez,Oaxaca
68023,Ampliación Jardín,Oaxaca de Juárez,Oaxaca
